category_main_number,category_main_title_kr,category_main_title_en,category_sub_number,category_sub_title_kr,category_link,info
003,바지,Pants,002,데님 팬츠,https://www.musinsa.com/categories/item/003002,003|바지|Pants|002|데님 팬츠|https://www.musinsa.com/categories/item/003002
007,모자,Headwear,001,캡/야구 모자,https://www.musinsa.com/categories/item/007001,007|모자|Headwear|001|캡/야구 모자|https://www.musinsa.com/categories/item/007001
008,양말/레그웨어,Socks/Legwear,001,양말,https://www.musinsa.com/categories/item/008001,008|양말/레그웨어|Socks/Legwear|001|양말|https://www.musinsa.com/categories/item/008001
018,스니커즈,Sneakers,002,캔버스/단화,https://www.musinsa.com/categories/item/018002,018|스니커즈|Sneakers|002|캔버스/단화|https://www.musinsa.com/categories/item/018002
002,아우터,Outer,025,무스탕/퍼,https://www.musinsa.com/categories/item/002025,002|아우터|Outer|025|무스탕/퍼|https://www.musinsa.com/categories/item/002025
003,바지,Pants,004,트레이닝/조거 팬츠,https://www.musinsa.com/categories/item/003004,003|바지|Pants|004|트레이닝/조거 팬츠|https://www.musinsa.com/categories/item/003004
001,상의,Top,005,맨투맨/스웨트셔츠,https://www.musinsa.com/categories/item/001005,001|상의|Top|005|맨투맨/스웨트셔츠|https://www.musinsa.com/categories/item/001005
001,상의,Top,004,후드 티셔츠,https://www.musinsa.com/categories/item/001004,001|상의|Top|004|후드 티셔츠|https://www.musinsa.com/categories/item/001004
001,상의,Top,006,니트/스웨터,https://www.musinsa.com/categories/item/001006,001|상의|Top|006|니트/스웨터|https://www.musinsa.com/categories/item/001006
002,아우터,Outer,023,플리스/뽀글이,https://www.musinsa.com/categories/item/002023,002|아우터|Outer|023|플리스/뽀글이|https://www.musinsa.com/categories/item/002023
002,아우터,Outer,012,숏패딩/숏헤비 아우터,https://www.musinsa.com/categories/item/002012,002|아우터|Outer|012|숏패딩/숏헤비 아우터|https://www.musinsa.com/categories/item/002012
002,아우터,Outer,016,패딩 베스트,https://www.musinsa.com/categories/item/002016,002|아우터|Outer|016|패딩 베스트|https://www.musinsa.com/categories/item/002016
001,상의,Top,001,반소매 티셔츠,https://www.musinsa.com/categories/item/001001,001|상의|Top|001|반소매 티셔츠|https://www.musinsa.com/categories/item/001001
001,상의,Top,010,긴소매 티셔츠,https://www.musinsa.com/categories/item/001010,001|상의|Top|010|긴소매 티셔츠|https://www.musinsa.com/categories/item/001010
001,상의,Top,011,민소매 티셔츠,https://www.musinsa.com/categories/item/001011,001|상의|Top|011|민소매 티셔츠|https://www.musinsa.com/categories/item/001011
001,상의,Top,002,셔츠/블라우스,https://www.musinsa.com/categories/item/001002,001|상의|Top|002|셔츠/블라우스|https://www.musinsa.com/categories/item/001002
001,상의,Top,003,피케/카라 티셔츠,https://www.musinsa.com/categories/item/001003,001|상의|Top|003|피케/카라 티셔츠|https://www.musinsa.com/categories/item/001003
001,상의,Top,008,기타 상의,https://www.musinsa.com/categories/item/001008,001|상의|Top|008|기타 상의|https://www.musinsa.com/categories/item/001008
002,아우터,Outer,022,후드 집업,https://www.musinsa.com/categories/item/002022,002|아우터|Outer|022|후드 집업|https://www.musinsa.com/categories/item/002022
002,아우터,Outer,001,블루종/MA-1,https://www.musinsa.com/categories/item/002001,002|아우터|Outer|001|블루종/MA-1|https://www.musinsa.com/categories/item/002001
